time,I,pol,r,ar,cc,V_tot,kind,net_type
8,16.88,0.6,0.1,58,0.041,868,mean,static
8,12.64,0.6,0.1,38,0.003,86.1163593270756,std,static
9,18.0,0.6,0.1,58,0.041,868,mean,static
9,13.36,0.6,0.1,38,0.003,86.1163593270756,std,static
10,18.91,0.6,0.1,58,0.041,868,mean,static
10,14.73,0.6,0.1,38,0.003,86.1163593270756,std,static
0,5.0,0.6,0.1,78,0.061,685,mean,dynamic
0,0.0,0.6,0.1,56,0.004,113.33626681252564,std,dynamic
1,5.19,0.6,0.1,78,0.061,685,mean,dynamic
1,1.4,0.6,0.1,56,0.004,113.33626681252564,std,dynamic
2,6.06,0.6,0.1,78,0.061,685,mean,dynamic
2,2.41,0.6,0.1,56,0.004,113.33626681252564,std,dynamic
3,7.91,0.6,0.1,78,0.061,685,mean,dynamic
3,5.05,0.6,0.1,56,0.004,113.33626681252564,std,dynamic
4,9.75,0.6,0.1,78,0.061,685,mean,dynamic
4,7.35,0.6,0.1,56,0.004,113.33626681252564,std,dynamic
0,5.0,0.7,0.1,72,0.04,864,mean,static
0,0.0,0.7,0.1,42,0.003,100.62425756713687,std,static
1,5.88,0.7,0.1,72,0.04,864,mean,static
1,0.82,0.7,0.1,42,0.003,100.62425756713687,std,static
2,6.59,0.7,0.1,72,0.04,864,mean,static
2,2.0,0.7,0.1,42,0.003,100.62425756713687,std,static
3,7.34,0.7,0.1,72,0.04,864,mean,static
3,3.07,0.7,0.1,42,0.003,100.62425756713687,std,static
4,8.97,0.7,0.1,72,0.04,864,mean,static
4,4.23,0.7,0.1,42,0.003,100.62425756713687,std,static
5,10.66,0.7,0.1,72,0.04,864,mean,static
5,5.94,0.7,0.1,42,0.003,100.62425756713687,std,static
6,13.47,0.7,0.1,72,0.04,864,mean,static
6,8.76,0.7,0.1,42,0.003,100.62425756713687,std,static
0,5.0,0.7,0.1,67,0.057,688,mean,dynamic
0,0.0,0.7,0.1,48,0.002,82.75263756181732,std,dynamic
1,5.06,0.7,0.1,67,0.057,688,mean,dynamic
1,1.06,0.7,0.1,48,0.002,82.75263756181732,std,dynamic
2,5.94,0.7,0.1,67,0.057,688,mean,dynamic
2,1.85,0.7,0.1,48,0.002,82.75263756181732,std,dynamic
3,6.88,0.7,0.1,67,0.057,688,mean,dynamic
3,3.23,0.7,0.1,48,0.002,82.75263756181732,std,dynamic
4,7.16,0.7,0.1,67,0.057,688,mean,dynamic
4,4.07,0.7,0.1,48,0.002,82.75263756181732,std,dynamic
5,7.31,0.7,0.1,67,0.057,688,mean,dynamic
5,4.08,0.7,0.1,48,0.002,82.75263756181732,std,dynamic
6,8.62,0.7,0.1,67,0.057,688,mean,dynamic
