time,I,pol,r,ar,cc,kind,net_type
31,46.09,0.1,0.1,733,0.042,mean,dynamic
31,4.81,0.1,0.1,24,0.001,std,dynamic
32,41.03,0.1,0.1,733,0.042,mean,dynamic
32,4.7,0.1,0.1,24,0.001,std,dynamic
33,36.97,0.1,0.1,733,0.042,mean,dynamic
33,5.3,0.1,0.1,24,0.001,std,dynamic
34,33.19,0.1,0.1,733,0.042,mean,dynamic
34,4.79,0.1,0.1,24,0.001,std,dynamic
35,30.03,0.1,0.1,733,0.042,mean,dynamic
35,4.73,0.1,0.1,24,0.001,std,dynamic
36,26.84,0.1,0.1,733,0.042,mean,dynamic
36,4.7,0.1,0.1,24,0.001,std,dynamic
37,24.22,0.1,0.1,733,0.042,mean,dynamic
37,4.46,0.1,0.1,24,0.001,std,dynamic
38,21.53,0.1,0.1,733,0.042,mean,dynamic
38,4.65,0.1,0.1,24,0.001,std,dynamic
39,19.06,0.1,0.1,733,0.042,mean,dynamic
39,4.39,0.1,0.1,24,0.001,std,dynamic
40,17.12,0.1,0.1,733,0.042,mean,dynamic
40,4.03,0.1,0.1,24,0.001,std,dynamic
41,15.38,0.1,0.1,733,0.042,mean,dynamic
41,4.1,0.1,0.1,24,0.001,std,dynamic
42,13.75,0.1,0.1,733,0.042,mean,dynamic
42,3.82,0.1,0.1,24,0.001,std,dynamic
43,11.91,0.1,0.1,733,0.042,mean,dynamic
43,3.14,0.1,0.1,24,0.001,std,dynamic
44,10.59,0.1,0.1,733,0.042,mean,dynamic
44,2.62,0.1,0.1,24,0.001,std,dynamic
45,9.22,0.1,0.1,733,0.042,mean,dynamic
45,2.42,0.1,0.1,24,0.001,std,dynamic
46,8.47,0.1,0.1,733,0.042,mean,dynamic
46,2.55,0.1,0.1,24,0.001,std,dynamic
47,7.5,0.1,0.1,733,0.042,mean,dynamic
47,2.25,0.1,0.1,24,0.001,std,dynamic
48,6.94,0.1,0.1,733,0.042,mean,dynamic
48,2.15,0.1,0.1,24,0.001,std,dynamic
49,6.31,0.1,0.1,733,0.042,mean,dynamic
49,2.17,0.1,0.1,24,0.001,std,dynamic
50,5.56,0.1,0.1,733,0.042,mean,dynamic
50,2.01,0.1,0.1,24,0.001,std,dynamic
51,5.03,0.1,0.1,733,0.042,mean,dynamic
51,2.01,0.1,0.1,24,0.001,std,dynamic
52,4.56,0.1,0.1,733,0.042,mean,dynamic
52,1.89,0.1,0.1,24,0.001,std,dynamic
53,4.09,0.1,0.1,733,0.042,mean,dynamic
53,1.84,0.1,0.1,24,0.001,std,dynamic
54,3.69,0.1,0.1,733,0.042,mean,dynamic
54,1.78,0.1,0.1,24,0.001,std,dynamic
55,3.19,0.1,0.1,733,0.042,mean,dynamic
55,1.72,0.1,0.1,24,0.001,std,dynamic
56,2.97,0.1,0.1,733,0.042,mean,dynamic
56,1.69,0.1,0.1,24,0.001,std,dynamic
57,2.72,0.1,0.1,733,0.042,mean,dynamic
57,1.64,0.1,0.1,24,0.001,std,dynamic
